,0
TCGA-E9-A1RC-01A,1
TCGA-C8-A26W-01A,4
TCGA-BH-A1EW-01A,1
TCGA-EW-A1P8-01A,0
TCGA-AO-A0JM-01A,3
TCGA-BH-A42V-01A,2
TCGA-A8-A08O-01A,0
TCGA-GM-A2DH-01A,3
TCGA-Z7-A8R6-01A,1
TCGA-BH-A1EN-01A,3
TCGA-E2-A1L6-01A,4
TCGA-E9-A22E-01A,3
TCGA-B6-A0RO-01A,3
TCGA-LL-A5YM-01A,4
TCGA-C8-A275-01A,4
TCGA-D8-A27T-01A,1
TCGA-A7-A6VV-01A,3
TCGA-B6-A0WV-01A,1
TCGA-AR-A0TQ-01A,1
TCGA-AR-A2LQ-01A,0
TCGA-A7-A6VY-01A,4
TCGA-LD-A66U-01A,4
TCGA-E2-A1IO-01A,2
TCGA-A2-A0SX-01A,4
TCGA-AR-A24X-01A,4
TCGA-AO-A1KT-01A,0
TCGA-D8-A1JE-01A,4
TCGA-A2-A0YM-01A,3
TCGA-D8-A1JH-01A,0
TCGA-S3-AA14-01A,0
TCGA-AR-A1AQ-01A,2
TCGA-E2-A15I-01A,4
TCGA-AR-A24L-01A,4
TCGA-E2-A1L7-01A,2
TCGA-BH-A0BM-01A,2
TCGA-D8-A1XJ-01A,1
TCGA-A1-A0SJ-01A,3
TCGA-OK-A5Q2-01A,4
TCGA-BH-A1F2-01A,1
TCGA-E9-A22H-01A,0
TCGA-A2-A4S2-01A,4
TCGA-A7-A56D-01A,4
TCGA-E9-A1RF-01A,1
TCGA-A2-A0T6-01A,4
TCGA-AQ-A04H-01B,1
TCGA-AR-A1AX-01A,0
TCGA-AR-A1AU-01A,2
TCGA-AO-A1KR-01A,3
TCGA-B6-A0IK-01A,0
TCGA-GM-A3XL-01A,0
TCGA-LL-A9Q3-01A,1
TCGA-BH-A209-01A,3
TCGA-AR-A0TZ-01A,4
TCGA-Z7-A8R5-01A,4
TCGA-BH-A0DI-01A,4
TCGA-A7-A13E-01A,3
TCGA-D8-A1XW-01A,3
TCGA-A7-A5ZX-01A,4
TCGA-LL-A73Y-01A,3
TCGA-AR-A0TV-01A,1
TCGA-D8-A1JB-01A,4
TCGA-E2-A1IF-01A,2
TCGA-E2-A1B4-01A,2
TCGA-AC-A5XU-01A,0
TCGA-E9-A22B-01A,3
TCGA-D8-A1J9-01A,0
TCGA-BH-A0HA-01A,2
TCGA-C8-A278-01A,1
TCGA-BH-A1FN-01A,3
TCGA-E2-A1B0-01A,3
TCGA-B6-A0RN-01A,4
TCGA-A2-A4S3-01A,4
TCGA-E9-A243-01A,3
TCGA-EW-A6SC-01A,4
TCGA-A2-A0EU-01A,1
TCGA-BH-A0W3-01A,1
TCGA-GM-A5PV-01A,2
TCGA-D8-A27P-01A,2
TCGA-HN-A2NL-01A,4
TCGA-A2-A4S1-01A,3
TCGA-AR-A24Q-01A,3
TCGA-D8-A1XC-01A,2
TCGA-A7-A13D-01A,3
TCGA-C8-A26Z-01A,1
TCGA-D8-A27L-01A,4
TCGA-BH-A1FJ-01A,2
TCGA-OL-A5D8-01A,2
TCGA-E2-A1B1-01A,0
TCGA-A2-A04R-01A,2
TCGA-BH-A1ET-01A,2
TCGA-D8-A73X-01A,0
TCGA-WT-AB44-01A,3
TCGA-EW-A1IX-01A,4
TCGA-B6-A0WT-01A,4
TCGA-AN-A0XP-01A,1
TCGA-E9-A1N5-01A,0
TCGA-D8-A1JP-01A,0
TCGA-AC-A62X-01A,3
TCGA-D8-A1XV-01A,2
TCGA-A2-A0T4-01A,0
TCGA-B6-A1KI-01A,1
TCGA-PL-A8LX-01A,1
TCGA-BH-A1FG-01A,2
TCGA-D8-A1JL-01A,2
TCGA-LD-A7W5-01A,1
TCGA-EW-A1PG-01A,0
TCGA-C8-A1HK-01A,1
TCGA-LL-A50Y-01A,0
TCGA-E9-A1RA-01A,1
TCGA-B6-A0RV-01A,4
TCGA-AR-A2LM-01A,0
TCGA-E9-A1R7-01A,4
TCGA-BH-A0HK-01A,4
TCGA-AR-A24N-01A,2
TCGA-AC-A2B8-01A,0
TCGA-OL-A5D6-01A,4
TCGA-E2-A1BD-01A,1
TCGA-OL-A66N-01A,1
TCGA-BH-A1FE-01A,1
TCGA-D8-A1XQ-01A,3
TCGA-E9-A1RE-01A,1
TCGA-A2-A0EN-01A,0
TCGA-A2-A0T5-01A,2
TCGA-AR-A2LE-01A,0
TCGA-OL-A66K-01A,1
TCGA-BH-A0H7-01A,1
TCGA-D8-A27H-01A,4
TCGA-AC-A2BM-01A,3
TCGA-A2-A1FW-01A,1
TCGA-A7-A26F-01A,4
TCGA-S3-AA0Z-01A,2
TCGA-PE-A5DE-01A,1
TCGA-GM-A2DA-01A,0
TCGA-BH-A0DS-01A,2
TCGA-GM-A2DB-01A,3
TCGA-EW-A1OY-01A,1
TCGA-B6-A0RE-01A,3
TCGA-AR-A24M-01A,2
TCGA-C8-A27B-01A,2
TCGA-EW-A1PE-01A,0
TCGA-D8-A1JG-01B,0
TCGA-A1-A0SG-01A,4
TCGA-BH-A28Q-01A,0
TCGA-A2-A0SU-01A,4
TCGA-GM-A2DK-01A,4
TCGA-LL-A8F5-01A,1
TCGA-OL-A66P-01A,3
TCGA-B6-A0X4-01A,4
TCGA-AR-A24S-01A,1
TCGA-E9-A227-01A,4
TCGA-OL-A66J-01A,2
TCGA-E9-A1QZ-01A,2
TCGA-A2-A0SW-01A,3
TCGA-D8-A1X9-01A,2
TCGA-BH-A1F5-01A,0
TCGA-GI-A2C8-01A,3
TCGA-B6-A0RP-01A,1
TCGA-PE-A5DD-01A,4
TCGA-AQ-A1H2-01A,2
TCGA-E9-A24A-01A,4
TCGA-AR-A255-01A,2
TCGA-C8-A1HO-01A,2
TCGA-D8-A1Y2-01A,4
TCGA-EW-A1PH-01A,3
TCGA-A2-A1FV-01A,2
TCGA-B6-A0WX-01A,3
TCGA-D8-A1JI-01A,2
TCGA-AC-A2FB-01A,4
TCGA-AC-A6IV-01A,2
TCGA-BH-A0BS-01A,4
TCGA-AO-A0JG-01A,4
TCGA-AR-A1AO-01A,2
TCGA-5L-AAT0-01A,0
TCGA-B6-A0RS-01A,3
TCGA-E9-A1NH-01A,1
TCGA-BH-A0BC-01A,2
TCGA-BH-A0H3-01A,0
TCGA-AO-A03L-01A,3
TCGA-BH-A1EV-01A,1
TCGA-A7-A26H-01A,4
TCGA-B6-A1KN-01A,1
TCGA-D8-A1Y0-01A,4
TCGA-3C-AALI-01A,1
