job_name,silhouette,n_samples,n_clusters,embeddings_file,clusters_file
MSNE_k_20_nw_200_emb_50_win_15_wl_30,0.021309002138967234,625,5,output_MSNE_k_20_nw_200_emb_50_win_15_wl_30_embeddings.csv,output_MSNE_k_20_nw_200_emb_50_win_15_wl_30_clusters.csv
MSNE_k_10_nw_100_emb_50_win_10_wl_40,0.0212484440827992,625,5,output_MSNE_k_10_nw_100_emb_50_win_10_wl_40_embeddings.csv,output_MSNE_k_10_nw_100_emb_50_win_10_wl_40_clusters.csv
MSNE_k_20_nw_100_emb_50_win_5_wl_20,0.02115656265670791,625,5,output_MSNE_k_20_nw_100_emb_50_win_5_wl_20_embeddings.csv,output_MSNE_k_20_nw_100_emb_50_win_5_wl_20_clusters.csv
MSNE_k_40_nw_50_emb_50_win_10_wl_30,0.021114877158879584,625,5,output_MSNE_k_40_nw_50_emb_50_win_10_wl_30_embeddings.csv,output_MSNE_k_40_nw_50_emb_50_win_10_wl_30_clusters.csv
MSNE_k_30_nw_200_emb_50_win_15_wl_20,0.021103854842003743,625,5,output_MSNE_k_30_nw_200_emb_50_win_15_wl_20_embeddings.csv,output_MSNE_k_30_nw_200_emb_50_win_15_wl_20_clusters.csv
MSNE_k_20_nw_100_emb_50_win_15_wl_40,0.02100198686292992,625,5,output_MSNE_k_20_nw_100_emb_50_win_15_wl_40_embeddings.csv,output_MSNE_k_20_nw_100_emb_50_win_15_wl_40_clusters.csv
MSNE_k_20_nw_50_emb_200_win_5_wl_20,0.020833945755184123,625,5,output_MSNE_k_20_nw_50_emb_200_win_5_wl_20_embeddings.csv,output_MSNE_k_20_nw_50_emb_200_win_5_wl_20_clusters.csv
MSNE_k_40_nw_200_emb_50_win_10_wl_20,0.020752120255819323,625,5,output_MSNE_k_40_nw_200_emb_50_win_10_wl_20_embeddings.csv,output_MSNE_k_40_nw_200_emb_50_win_10_wl_20_clusters.csv
MSNE_k_50_nw_200_emb_50_win_10_wl_20,0.020687646551507708,625,5,output_MSNE_k_50_nw_200_emb_50_win_10_wl_20_embeddings.csv,output_MSNE_k_50_nw_200_emb_50_win_10_wl_20_clusters.csv
MSNE_k_50_nw_100_emb_50_win_10_wl_40,0.02060183773488688,625,5,output_MSNE_k_50_nw_100_emb_50_win_10_wl_40_embeddings.csv,output_MSNE_k_50_nw_100_emb_50_win_10_wl_40_clusters.csv
MSNE_k_20_nw_200_emb_100_win_5_wl_40,0.020569210071487407,625,5,output_MSNE_k_20_nw_200_emb_100_win_5_wl_40_embeddings.csv,output_MSNE_k_20_nw_200_emb_100_win_5_wl_40_clusters.csv
MSNE_k_30_nw_50_emb_200_win_5_wl_20,0.020560398057335425,625,5,output_MSNE_k_30_nw_50_emb_200_win_5_wl_20_embeddings.csv,output_MSNE_k_30_nw_50_emb_200_win_5_wl_20_clusters.csv
MSNE_k_40_nw_50_emb_50_win_5_wl_30,0.02040647747078247,625,5,output_MSNE_k_40_nw_50_emb_50_win_5_wl_30_embeddings.csv,output_MSNE_k_40_nw_50_emb_50_win_5_wl_30_clusters.csv
MSNE_k_20_nw_200_emb_50_win_10_wl_20,0.020386197728488598,625,5,output_MSNE_k_20_nw_200_emb_50_win_10_wl_20_embeddings.csv,output_MSNE_k_20_nw_200_emb_50_win_10_wl_20_clusters.csv
MSNE_k_40_nw_200_emb_100_win_5_wl_40,0.020347758482924843,625,5,output_MSNE_k_40_nw_200_emb_100_win_5_wl_40_embeddings.csv,output_MSNE_k_40_nw_200_emb_100_win_5_wl_40_clusters.csv
MSNE_k_50_nw_100_emb_50_win_10_wl_30,0.020338208659330472,625,5,output_MSNE_k_50_nw_100_emb_50_win_10_wl_30_embeddings.csv,output_MSNE_k_50_nw_100_emb_50_win_10_wl_30_clusters.csv
MSNE_k_30_nw_50_emb_50_win_10_wl_20,0.020333233299749395,625,5,output_MSNE_k_30_nw_50_emb_50_win_10_wl_20_embeddings.csv,output_MSNE_k_30_nw_50_emb_50_win_10_wl_20_clusters.csv
MSNE_k_10_nw_200_emb_50_win_15_wl_20,0.020166755121188734,625,5,output_MSNE_k_10_nw_200_emb_50_win_15_wl_20_embeddings.csv,output_MSNE_k_10_nw_200_emb_50_win_15_wl_20_clusters.csv
MSNE_k_40_nw_100_emb_50_win_10_wl_40,0.020024795766892145,625,5,output_MSNE_k_40_nw_100_emb_50_win_10_wl_40_embeddings.csv,output_MSNE_k_40_nw_100_emb_50_win_10_wl_40_clusters.csv
MSNE_k_20_nw_50_emb_100_win_5_wl_20,0.01996402464600432,625,5,output_MSNE_k_20_nw_50_emb_100_win_5_wl_20_embeddings.csv,output_MSNE_k_20_nw_50_emb_100_win_5_wl_20_clusters.csv
MSNE_k_10_nw_50_emb_50_win_5_wl_30,0.01992440123475487,625,5,output_MSNE_k_10_nw_50_emb_50_win_5_wl_30_embeddings.csv,output_MSNE_k_10_nw_50_emb_50_win_5_wl_30_clusters.csv
MSNE_k_40_nw_50_emb_50_win_5_wl_40,0.01988979662500077,625,5,output_MSNE_k_40_nw_50_emb_50_win_5_wl_40_embeddings.csv,output_MSNE_k_40_nw_50_emb_50_win_5_wl_40_clusters.csv
MSNE_k_10_nw_100_emb_100_win_15_wl_40,0.01987457172570834,625,5,output_MSNE_k_10_nw_100_emb_100_win_15_wl_40_embeddings.csv,output_MSNE_k_10_nw_100_emb_100_win_15_wl_40_clusters.csv
MSNE_k_20_nw_50_emb_50_win_5_wl_30,0.019873622337470028,625,5,output_MSNE_k_20_nw_50_emb_50_win_5_wl_30_embeddings.csv,output_MSNE_k_20_nw_50_emb_50_win_5_wl_30_clusters.csv
MSNE_k_40_nw_100_emb_50_win_5_wl_20,0.01983771042686054,625,5,output_MSNE_k_40_nw_100_emb_50_win_5_wl_20_embeddings.csv,output_MSNE_k_40_nw_100_emb_50_win_5_wl_20_clusters.csv
MSNE_k_10_nw_100_emb_50_win_15_wl_40,0.01975995308233541,625,5,output_MSNE_k_10_nw_100_emb_50_win_15_wl_40_embeddings.csv,output_MSNE_k_10_nw_100_emb_50_win_15_wl_40_clusters.csv
MSNE_k_50_nw_100_emb_50_win_15_wl_40,0.019754071897631478,625,5,output_MSNE_k_50_nw_100_emb_50_win_15_wl_40_embeddings.csv,output_MSNE_k_50_nw_100_emb_50_win_15_wl_40_clusters.csv
MSNE_k_30_nw_100_emb_50_win_15_wl_40,0.01968798139251117,625,5,output_MSNE_k_30_nw_100_emb_50_win_15_wl_40_embeddings.csv,output_MSNE_k_30_nw_100_emb_50_win_15_wl_40_clusters.csv
MSNE_k_20_nw_100_emb_50_win_10_wl_40,0.01965677106388224,625,5,output_MSNE_k_20_nw_100_emb_50_win_10_wl_40_embeddings.csv,output_MSNE_k_20_nw_100_emb_50_win_10_wl_40_clusters.csv
MSNE_k_50_nw_100_emb_50_win_5_wl_20,0.019536252465608597,625,5,output_MSNE_k_50_nw_100_emb_50_win_5_wl_20_embeddings.csv,output_MSNE_k_50_nw_100_emb_50_win_5_wl_20_clusters.csv
MSNE_k_50_nw_50_emb_100_win_5_wl_20,0.01949705375323212,625,5,output_MSNE_k_50_nw_50_emb_100_win_5_wl_20_embeddings.csv,output_MSNE_k_50_nw_50_emb_100_win_5_wl_20_clusters.csv
MSNE_k_10_nw_200_emb_100_win_5_wl_40,0.019456706834651276,625,5,output_MSNE_k_10_nw_200_emb_100_win_5_wl_40_embeddings.csv,output_MSNE_k_10_nw_200_emb_100_win_5_wl_40_clusters.csv
