id	filename	md5	size	state
2103fe4e-c511-4f07-a212-8bf24cd3aa95	2103fe4e-c511-4f07-a212-8bf24cd3aa95/nationwidechildrens.org_clinical.TCGA-C8-A12N.xml	25cb9c999a343aa79f2495466bbfe074	60461	validated
216c7806-954e-4624-b627-47424a578220	216c7806-954e-4624-b627-47424a578220/nationwidechildrens.org_clinical.TCGA-C8-A12V.xml	718b8651c50a8e79a5a9b44776a20222	50676	validated
21b2adf9-f20f-4019-80ac-92ab47e02763	21b2adf9-f20f-4019-80ac-92ab47e02763/nationwidechildrens.org_clinical.TCGA-AO-A03T.xml	d53b11bd2704882060f373c6dac2488d	121786	validated
23462b8f-9187-4c33-af77-9e64e874aecd	23462b8f-9187-4c33-af77-9e64e874aecd/nationwidechildrens.org_clinical.TCGA-E2-A14W.xml	59810e53aea2973bedc9be4f179a39a9	75787	validated
23e1288e-c1e5-4f43-b84b-29b5d34be8d1	23e1288e-c1e5-4f43-b84b-29b5d34be8d1/nationwidechildrens.org_clinical.TCGA-BH-A0AY.xml	765d7a7c31fb7e690558a927fc1d0786	73000	validated
24cca7f0-3a2b-4e94-84f9-f735be35dcee	24cca7f0-3a2b-4e94-84f9-f735be35dcee/nationwidechildrens.org_clinical.TCGA-E2-A10A.xml	27322a126c8b4681a55642d2c917205d	93941	validated
255cf06a-010f-4a7b-8750-9bf6ae381f42	255cf06a-010f-4a7b-8750-9bf6ae381f42/nationwidechildrens.org_clinical.TCGA-AR-A0TW.xml	9c09c12503cc189ca08da4c501d1bdcf	83796	validated
2574d538-333c-4448-96d7-350bbba51291	2574d538-333c-4448-96d7-350bbba51291/nationwidechildrens.org_clinical.TCGA-A2-A0CX.xml	951ce99fcec4b2d031d91b8879846b9d	99120	validated
25f19634-8f54-4be7-a0f1-c2756e11fec8	25f19634-8f54-4be7-a0f1-c2756e11fec8/nationwidechildrens.org_clinical.TCGA-A8-A09E.xml	9d314b589b34556ae1fdaf5b91bb9ed6	61112	validated
25fa4fd8-d5d7-479b-98b5-b475dc1b12ee	25fa4fd8-d5d7-479b-98b5-b475dc1b12ee/nationwidechildrens.org_clinical.TCGA-AN-A03Y.xml	83ea485574960f6aef7da6167e1bafcc	50934	validated
261cdf1f-cd92-45c7-943a-b4e4064a1fb0	261cdf1f-cd92-45c7-943a-b4e4064a1fb0/nationwidechildrens.org_clinical.TCGA-E2-A15O.xml	d83da64f66479498de7bd1f8b6da23e8	90868	validated
26a363bc-d900-4ac4-af5d-da7963a964cd	26a363bc-d900-4ac4-af5d-da7963a964cd/nationwidechildrens.org_clinical.TCGA-E2-A150.xml	355823de91bf1326fba493c2334561ae	88995	validated
