package,recommended_version,all_versions
nortest,1.0-4,1.0-4
officer,0.6.6,0.6.6
oompaBase,3.2.9,3.2.9
oompaData,3.1.4,3.1.4
openssl,2.2.0,2.2.0
openxlsx,4.2.8.1,"4.2.5.2, 4.2.8.1"
pamr,1.56.2,1.56.2
parallel,4.4.2,4.4.2
patchwork,1.2.0,1.2.0
pathfindR,2.4.1,2.4.1
pathfindR.data,2.1.0,2.1.0
permute,0.9-7,0.9-7
pheatmap,1.0.12,1.0.12
pillar,1.9.0,"1.9.0, 1.10.2"
pkgconfig,2.0.3,2.0.3
pkgload,1.4.0,1.4.0
plotly,4.10.4,4.10.4
plyr,1.8.9,1.8.9
png,0.1-8,0.1-8
polyclip,1.10-6,1.10-6
polynom,1.4-1,1.4-1
preprocessCore,1.66.0,1.66.0
prettyGraphs,2.2.0,2.2.0
proxy,0.4-27,0.4-27
purrr,1.0.4,"1.0.2, 1.0.4"
qvalue,2.36.0,2.36.0
ragg,1.3.2,1.3.2
rappdirs,0.3.3,0.3.3
rbibutils,2.3,2.3
rcartocolor,2.1.1,2.1.1
rcompanion,2.4.36,2.4.36
readxl,1.4.3,1.4.3
reformulas,0.4.1,0.4.1
registry,0.5-1,0.5-1
reshape2,1.4.4,1.4.4
reticulate,1.38.0,1.38.0
rhdf5,2.48.0,2.48.0
rhdf5filters,1.16.0,1.16.0
ridge,3.3,3.3
rjson,0.2.21,0.2.21
rlang,1.1.4,"1.1.3, 1.1.4"
rmarkdown,2.28,2.28
rngtools,1.5.2,1.5.2
rootSolve,1.8.2.4,1.8.2.4
rprojroot,2.0.4,2.0.4
rstatix,0.7.2,0.7.2
rsthemes,0.5.0,"0.5.0, 0.4.0"
rstudioapi,0.16.0,0.16.0
rsvd,1.0.5,1.0.5
sandwich,3.1-0,3.1-0
sass,0.4.9,0.4.9
scales,1.4.0,"1.3.0, 1.4.0"
scatterpie,0.2.3,0.2.3
scatterplot3d,0.3-44,0.3-44
shadowtext,0.1.4,0.1.4
shape,1.4.6.1,1.4.6.1
slam,0.1-52,0.1-52
snow,0.4-4,0.4-4
sparseMatrixStats,1.16.0,1.16.0
splines,4.4.2,"4.4.0, 4.4.2"
statmod,1.5.0,1.5.0
stats4,4.4.2,"4.4.0, 4.4.2"
